"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"9/24/2023","DB WORLD FOODS","DB WORLD FOODS","20.08","debit","Groceries","Blue Cash Everyday®","",""
"9/24/2023","H E B","H E B","5.36","debit","Entertainment","Blue Cash Everyday®","",""
"9/24/2023","Amazon","AMZN Mktp US*TX7AV64C0","6.48","debit","Electronics & Software","CREDIT CARD","",""
"9/22/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","12.88","debit","Pharmacy","Blue Cash Everyday®","",""
"9/22/2023","H-E-B #XXX XXXXX0000LEANDER TX","H-E-B #XXX XXXXX0000LEANDER TX","61.32","debit","Groceries","Blue Cash Everyday®","",""
"9/22/2023","H-E-B GAS/CARWASH #7LEANDER TX","H-E-B GAS/CARWASH #7LEANDER TX","47.13","debit","Gas & Fuel","Blue Cash Everyday®","",""
"9/22/2023","Amazon Prime","Amazon Prime","8.11","credit","Shopping","CREDIT CARD","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","2.22","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","0.46","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","0.39","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","33.21","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","8.65","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","1.77","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","0.42","debit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","228.80","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Principal LifeTime Hybrid 2050 R6 Fund","Principal LifeTime Hybrid 2050 R6 Fund","870.00","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","18.55","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","64.97","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","11.18","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","17.74","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/22/2023","Columbia Dividend Income I3 Fund","Columbia Dividend Income I3 Fund","1.15","credit","Investments","Mphasis Corporation 401(k) Plan","",""
"9/21/2023","Amazon","YOU BOUGHT AMAZON.COM INC (AMZN) (Cash)","130.50","debit","Investments","Individual - TOD","",""
"9/21/2023","YOU BOUGHT MICROSOFT CORP (MSFT) (Cash)","YOU BOUGHT MICROSOFT CORP (MSFT) (Cash)","641.86","debit","Investments","Individual - TOD","",""
"9/21/2023","YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)","YOU BOUGHT ALPHABET INC CAP STK CL A (GOOGL) (Cash)","130.68","debit","Investments","Individual - TOD","",""
"9/21/2023","Interest Payment","Interest Payment","20.00","credit","Interest Income","HYSA","",""
"9/21/2023","YOU BOUGHT XDIV UPDATED 09/06/2 NVIDIA CORPORATION COM (NVDA) (Cash)","YOU BOUGHT XDIV UPDATED 09/06/2 NVIDIA CORPORATION COM (NVDA) (Cash)","831.36","debit","Investments","Individual - TOD","",""
"9/21/2023","YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)","YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)","4156.80","debit","Investments","Individual - TOD","",""
